bin, 0, end
bin\Code\F00451, 4, qst: Data\T2\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T1\T1.in, score: 1, qst: Data\T1\T2.in, score: 1, end
bin\Code\F00470, 6, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T1.in, score: 1, qst: Data\T4\T2.in, score: 1, qst: Data\T3\T2.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T1\T1.in, score: 1, qst: Data\T4\T1.in, score: 0, qst: Data\T3\T1.in, score: 0, end
bin\Code\F00485, 4, qst: Data\T1\T2.in, score: 1, qst: Data\T1\T1.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T3\T2.in, score: 0, qst: Data\T3\T1.in, score: 0, end
bin\Code\F00500, 5, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T2.in, score: 1, qst: Data\T3\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T4\T2.in, score: 0, qst: Data\T3\T1.in, score: 0, qst: Data\T4\T1.in, score: 1, qst: Data\T1\T1.in, score: 0, end
bin\Code\F00501, 4, qst: Data\T2\T2.in, score: 1, qst: Data\T3\T2.in, score: 0, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T1.in, score: 1, qst: Data\T3\T1.in, score: 0, qst: Data\T4\T1.in, score: 0, qst: Data\T4\T2.in, score: 1, qst: Data\T1\T2.in, score: 1, qst: Data\T1\T1.in, score: 0, end
bin\Code\F00507, 2, qst: Data\T2\T2.in, score: 0, qst: Data\T2\T1.in, score: 0, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T3\T2.in, score: 0, qst: Data\T3\T1.in, score: 1, qst: Data\T1\T1.in, score: 0, end
bin\Code\F00536, 3, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T1.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T1\T1.in, score: 0, end
bin\Code\F00559, 5, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T3\T1.in, score: 0, qst: Data\T1\T1.in, score: 1, qst: Data\T3\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T4\T2.in, score: 0, qst: Data\T4\T1.in, score: 0, end
bin\Code\F00562, 4, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T2.in, score: 1, qst: Data\T3\T1.in, score: 0, qst: Data\T3\T2.in, score: 1, qst: Data\T1\T1.in, score: 0, end
bin\Code\F00570, 0, end
bin\Code\F00571, 0, end
bin\Code\F00581, 6, qst: Data\T2\T1.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T1\T2.in, score: 1, qst: Data\T1\T1.in, score: 1, qst: Data\T3\T2.in, score: 1, qst: Data\T3\T1.in, score: 0, qst: Data\T4\T2.in, score: 1, qst: Data\T4\T1.in, score: 0, end
bin\Code\F00592, 6, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T3\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T1\T1.in, score: 1, qst: Data\T3\T1.in, score: 1, end
bin\Code\F00603, 3, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T1.in, score: 0, qst: Data\T2\T2.in, score: 0, qst: Data\T3\T2.in, score: 0, qst: Data\T3\T1.in, score: 1, qst: Data\T4\T2.in, score: 0, qst: Data\T4\T1.in, score: 1, qst: Data\T1\T1.in, score: 0, end
bin\Code\F00612, 5, qst: Data\T2\T1.in, score: 1, qst: Data\T1\T2.in, score: 1, qst: Data\T3\T2.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T3\T1.in, score: 1, qst: Data\T4\T1.in, score: 0, qst: Data\T4\T2.in, score: 0, qst: Data\T1\T1.in, score: 0, end
bin\Code\F00638, 4, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T2.in, score: 1, qst: Data\T1\T1.in, score: 1, qst: Data\T2\T1.in, score: 1, end
bin\Code\F00655, 2, qst: Data\T2\T3.in, score: 0, qst: Data\T3\T2.in, score: 0, qst: Data\T3\T1.in, score: 0, qst: Data\T4\T2.in, score: 0, qst: Data\T4\T1.in, score: 1, qst: Data\T2\T2.in, score: 0, qst: Data\T2\T1.in, score: 0, qst: Data\T1\T2.in, score: 1, qst: Data\T1\T1.in, score: 0, end
bin\Code\F00668, 5, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T1\T1.in, score: 1, qst: Data\T4\T2.in, score: 1, qst: Data\T4\T1.in, score: 0, qst: Data\T2\T3.in, score: 0, end
bin\Code\F00673, 0, qst: Data\T1\T2.in, score: 0, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T1.in, score: 0, qst: Data\T1\T1.in, score: 0, qst: Data\T2\T2.in, score: 0, qst: Data\T3\T1.in, score: 0, qst: Data\T3\T2.in, score: 0, qst: Data\T4\T1.in, score: 0, qst: Data\T4\T2.in, score: 0, end
bin\Code\F00697, 6, qst: Data\T1\T1.in, score: 1, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T3\T2.in, score: 0, qst: Data\T3\T1.in, score: 1, qst: Data\T4\T1.in, score: 1, qst: Data\T4\T2.in, score: 0, qst: Data\T2\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, end
bin\Code\F00700, 4, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T2.in, score: 1, qst: Data\T1\T1.in, score: 1, qst: Data\T2\T1.in, score: 1, end
bin\Code\F00721, 8, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T1\T1.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T1.in, score: 1, qst: Data\T4\T2.in, score: 1, qst: Data\T4\T1.in, score: 1, qst: Data\T3\T2.in, score: 1, qst: Data\T3\T1.in, score: 1, end
bin\Code\F00724, 3, qst: Data\T2\T1.in, score: 0, qst: Data\T2\T2.in, score: 0, qst: Data\T1\T2.in, score: 1, qst: Data\T1\T1.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T3\T2.in, score: 0, qst: Data\T4\T2.in, score: 1, qst: Data\T4\T1.in, score: 0, qst: Data\T3\T1.in, score: 0, end
